id,destino,nombre,ubicacion,tipo_alojamiento,link,clasificacion_emetur
11158,,Mendoza Capital Ciudad Comercial,"Centro de la ciudad de Mendoza, Mendoza",Apartamento de 1 dormitorio,https://www.booking.com/hotel/ar/mendoza-capital-ciudad-comercial.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502801&all_sr_blocks=1251690101_397670416_3_0_0&highlighted_blocks=1251690101_397670416_3_0_0&matching_block_id=1251690101_397670416_3_0_0&sr_pri_blocks=1251690101_397670416_3_0_0__1900&from=searchresults,PAT (Departamentos y casas)
11159,,Departamento Parque Mendoza Centro,"Centro de la ciudad de Mendoza, Mendoza",Apartamento de 2 dormitorios,https://www.booking.com/hotel/ar/departamento-parque-central-capital.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502801&all_sr_blocks=1018609301_405630815_2_0_0_313097&highlighted_blocks=1018609301_405630815_2_0_0_313097&matching_block_id=1018609301_405630815_2_0_0_313097&sr_pri_blocks=1018609301_405630815_2_0_0_313097_4750&from=searchresults,PAT
11160,,Confortable y Amplio loft,"Centro de la ciudad de Mendoza, Mendoza",Apartamento de 1 dormitorio,https://www.booking.com/hotel/ar/confortable-y-amplio-loft.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502801&all_sr_blocks=1095286001_382437517_2_0_0&highlighted_blocks=1095286001_382437517_2_0_0&matching_block_id=1095286001_382437517_2_0_0&sr_pri_blocks=1095286001_382437517_2_0_0__3000&from=searchresults,PAT (Departamentos y casas)
11161,,Hotel Puerta del Sol,"Centro de la ciudad de Mendoza, Mendoza",Habitación Doble,https://www.booking.com/hotel/ar/puerta-del-sol.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502801&all_sr_blocks=104180104_374128822_0_1_0&highlighted_blocks=104180104_374128822_0_1_0&matching_block_id=104180104_374128822_0_1_0&sr_pri_blocks=104180104_374128822_0_1_0__4795&from=searchresults,Hotel
11162,,Hotel Sienna,"Centro de la ciudad de Mendoza, Mendoza",Habitación Triple con baño privado,https://www.booking.com/hotel/ar/sienna.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502708&all_sr_blocks=45807603_278658148_0_1_0_581893&highlighted_blocks=45807603_278658148_0_1_0_581893&matching_block_id=45807603_278658148_0_1_0_581893&sr_pri_blocks=45807603_278658148_0_1_0_581893_5202&from=searchresults,Hotel
11163,,Mendoza Chill,"Centro de la ciudad de Mendoza, Mendoza",Apartamento de 1 dormitorio,https://www.booking.com/hotel/ar/mendoza-chill.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502708&all_sr_blocks=898843101_360589691_2_0_0&highlighted_blocks=898843101_360589691_2_0_0&matching_block_id=898843101_360589691_2_0_0&sr_pri_blocks=898843101_360589691_2_0_0__3600&from=searchresults,PAT (Departamentos y casas)
11164,,Departamento cómodo en pleno centro de Mendoza,"Centro de la ciudad de Mendoza, Mendoza",Apartamento de 3 dormitorios,https://www.booking.com/hotel/ar/departamento-comodo-en-pleno-centro-de-mendoza.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502708&all_sr_blocks=1155905201_403642428_3_0_0&highlighted_blocks=1155905201_403642428_3_0_0&matching_block_id=1155905201_403642428_3_0_0&sr_pri_blocks=1155905201_403642428_3_0_0__3341&from=searchresults,PAT
11165,,Hotel Milena,"Centro de la ciudad de Mendoza, Mendoza",Habitación Doble - 2 camas,https://www.booking.com/hotel/ar/milena.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=45&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502708&all_sr_blocks=186585102_123815760_2_1_0&highlighted_blocks=186585102_123815760_2_1_0&matching_block_id=186585102_123815760_2_1_0&sr_pri_blocks=186585102_123815760_2_1_0__4500&from=searchresults,Hotel
11166,,TECNICOLOR MENDOZA,"Centro de la ciudad de Mendoza, Mendoza",Apartamento de 1 dormitorio,https://www.booking.com/hotel/ar/tecnicolor-mendoza.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=55&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502710&all_sr_blocks=1043241501_376721105_2_0_0_43421&highlighted_blocks=1043241501_376721105_2_0_0_43421&matching_block_id=1043241501_376721105_2_0_0_43421&sr_pri_blocks=1043241501_376721105_2_0_0_43421_4752&from=searchresults,PAT (Departamentos y casas)
11167,,Casa de papel,"Centro de la ciudad de Mendoza, Mendoza",Habitación Doble con baño compartido - 2 camas,https://www.booking.com/hotel/ar/casa-de-papel.es.html?label=gen173nr-1BCAEoggI46AdIM1gEaAyIAQGYAQq4ARnIAQ_YAQHoAQGIAgGoAgO4AvrbqMAGwAIB0gIkZTU5ZDk2ZmMtZjE2MC00YTY3LThmOTAtZjM5MzRkZDEzYzhi2AIF4AIB&sid=9f6a28b13f874937f280885de78887a1&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-07&checkout=2025-05-08&dest_id=-1003869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=56&sr_order=popularity&srpvid=501f6176d2ac01b7&srepoch=1745502710&all_sr_blocks=953936202_386959469_2_0_0&highlighted_blocks=953936202_386959469_2_0_0&matching_block_id=953936202_386959469_2_0_0&sr_pri_blocks=953936202_386959469_2_0_0__1500&from=searchresults,Hostel
